"PA","SZ","Age","Sex","Pop","age_binned"
"Ang Mo Kio","Ang Mo Kio Town Centre",0,"Males",10,"0-6"
"Ang Mo Kio","Ang Mo Kio Town Centre",0,"Females",10,"0-6"
"Ang Mo Kio","Ang Mo Kio Town Centre",1,"Males",10,"0-6"
"Ang Mo Kio","Ang Mo Kio Town Centre",1,"Females",10,"0-6"
"Ang Mo Kio","Ang Mo Kio Town Centre",2,"Males",10,"0-6"
"Ang Mo Kio","Ang Mo Kio Town Centre",2,"Females",10,"0-6"
"Ang Mo Kio","Ang Mo Kio Town Centre",3,"Males",10,"0-6"
"Ang Mo Kio","Ang Mo Kio Town Centre",3,"Females",10,"0-6"
"Ang Mo Kio","Ang Mo Kio Town Centre",4,"Males",30,"0-6"
"Ang Mo Kio","Ang Mo Kio Town Centre",4,"Females",10,"0-6"
"Ang Mo Kio","Ang Mo Kio Town Centre",5,"Males",20,"0-6"
"Ang Mo Kio","Ang Mo Kio Town Centre",5,"Females",10,"0-6"
"Ang Mo Kio","Ang Mo Kio Town Centre",6,"Males",20,"0-6"
"Ang Mo Kio","Ang Mo Kio Town Centre",6,"Females",30,"0-6"
"Ang Mo Kio","Ang Mo Kio Town Centre",7,"Males",30,"7-12"
"Ang Mo Kio","Ang Mo Kio Town Centre",7,"Females",10,"7-12"
"Ang Mo Kio","Ang Mo Kio Town Centre",8,"Males",30,"7-12"
"Ang Mo Kio","Ang Mo Kio Town Centre",8,"Females",30,"7-12"
"Ang Mo Kio","Ang Mo Kio Town Centre",9,"Males",20,"7-12"
"Ang Mo Kio","Ang Mo Kio Town Centre",9,"Females",30,"7-12"
"Ang Mo Kio","Ang Mo Kio Town Centre",10,"Males",30,"7-12"
"Ang Mo Kio","Ang Mo Kio Town Centre",10,"Females",30,"7-12"
"Ang Mo Kio","Ang Mo Kio Town Centre",11,"Males",30,"7-12"
"Ang Mo Kio","Ang Mo Kio Town Centre",11,"Females",30,"7-12"
"Ang Mo Kio","Ang Mo Kio Town Centre",12,"Males",40,"7-12"
"Ang Mo Kio","Ang Mo Kio Town Centre",12,"Females",30,"7-12"
"Ang Mo Kio","Ang Mo Kio Town Centre",13,"Males",30,"13-16"
"Ang Mo Kio","Ang Mo Kio Town Centre",13,"Females",20,"13-16"
"Ang Mo Kio","Ang Mo Kio Town Centre",14,"Males",30,"13-16"
"Ang Mo Kio","Ang Mo Kio Town Centre",14,"Females",30,"13-16"
"Ang Mo Kio","Ang Mo Kio Town Centre",15,"Males",30,"13-16"
"Ang Mo Kio","Ang Mo Kio Town Centre",15,"Females",30,"13-16"
"Ang Mo Kio","Ang Mo Kio Town Centre",16,"Males",20,"13-16"
"Ang Mo Kio","Ang Mo Kio Town Centre",16,"Females",40,"13-16"
"Ang Mo Kio","Ang Mo Kio Town Centre",17,"Males",30,"17-21"
"Ang Mo Kio","Ang Mo Kio Town Centre",17,"Females",30,"17-21"
"Ang Mo Kio","Ang Mo Kio Town Centre",18,"Males",30,"17-21"
"Ang Mo Kio","Ang Mo Kio Town Centre",18,"Females",30,"17-21"
"Ang Mo Kio","Ang Mo Kio Town Centre",19,"Males",40,"17-21"
"Ang Mo Kio","Ang Mo Kio Town Centre",19,"Females",20,"17-21"
"Ang Mo Kio","Ang Mo Kio Town Centre",20,"Males",20,"17-21"
"Ang Mo Kio","Ang Mo Kio Town Centre",20,"Females",30,"17-21"
"Ang Mo Kio","Ang Mo Kio Town Centre",21,"Males",30,"17-21"
"Ang Mo Kio","Ang Mo Kio Town Centre",21,"Females",30,"17-21"
"Ang Mo Kio","Ang Mo Kio Town Centre",22,"Males",20,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",22,"Females",30,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",23,"Males",30,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",23,"Females",30,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",24,"Males",30,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",24,"Females",20,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",25,"Males",30,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",25,"Females",30,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",26,"Males",20,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",26,"Females",30,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",27,"Males",30,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",27,"Females",30,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",28,"Males",30,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",28,"Females",30,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",29,"Males",30,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",29,"Females",30,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",30,"Males",20,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",30,"Females",20,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",31,"Males",30,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",31,"Females",20,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",32,"Males",20,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",32,"Females",30,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",33,"Males",20,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",33,"Females",30,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",34,"Males",30,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",34,"Females",40,"22-34"
"Ang Mo Kio","Ang Mo Kio Town Centre",35,"Males",30,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",35,"Females",30,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",36,"Males",30,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",36,"Females",40,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",37,"Males",20,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",37,"Females",30,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",38,"Males",20,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",38,"Females",40,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",39,"Males",20,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",39,"Females",30,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",40,"Males",30,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",40,"Females",50,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",41,"Males",50,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",41,"Females",50,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",42,"Males",40,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",42,"Females",50,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",43,"Males",40,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",43,"Females",40,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",44,"Males",40,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",44,"Females",40,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",45,"Males",30,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",45,"Females",40,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",46,"Males",40,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",46,"Females",50,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",47,"Males",50,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",47,"Females",40,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",48,"Males",40,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",48,"Females",50,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",49,"Males",30,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",49,"Females",50,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",50,"Males",40,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",50,"Females",50,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",51,"Males",40,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",51,"Females",50,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",52,"Males",50,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",52,"Females",40,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",53,"Males",50,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",53,"Females",40,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",54,"Males",40,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",54,"Females",50,"35-54"
"Ang Mo Kio","Ang Mo Kio Town Centre",55,"Males",40,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",55,"Females",40,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",56,"Males",30,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",56,"Females",30,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",57,"Males",40,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",57,"Females",30,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",58,"Males",40,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",58,"Females",20,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",59,"Males",30,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",59,"Females",20,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",60,"Males",40,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",60,"Females",40,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",61,"Males",30,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",61,"Females",40,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",62,"Males",20,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",62,"Females",30,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",63,"Males",30,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",63,"Females",20,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",64,"Males",30,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",64,"Females",40,"55-64"
"Ang Mo Kio","Ang Mo Kio Town Centre",65,"Males",20,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",65,"Females",30,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",66,"Males",20,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",66,"Females",30,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",67,"Males",30,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",67,"Females",30,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",68,"Males",20,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",68,"Females",30,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",69,"Males",20,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",69,"Females",30,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",70,"Males",30,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",70,"Females",30,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",71,"Males",20,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",71,"Females",30,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",72,"Males",20,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",72,"Females",30,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",73,"Males",20,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",73,"Females",30,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",74,"Males",30,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",74,"Females",30,"65-74"
"Ang Mo Kio","Ang Mo Kio Town Centre",75,"Males",30,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",75,"Females",30,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",76,"Males",20,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",76,"Females",20,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",77,"Males",10,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",77,"Females",20,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",78,"Males",10,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",78,"Females",20,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",79,"Males",10,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",79,"Females",10,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",80,"Males",0,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",80,"Females",20,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",81,"Males",10,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",81,"Females",20,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",82,"Males",10,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",82,"Females",10,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",83,"Males",10,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",83,"Females",20,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",84,"Males",10,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",84,"Females",10,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",85,"Males",10,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",85,"Females",10,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",86,"Males",0,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",86,"Females",0,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",87,"Males",10,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",87,"Females",10,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",88,"Males",0,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",88,"Females",10,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",89,"Males",0,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",89,"Females",0,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",90,"Males",10,"75 and Above"
"Ang Mo Kio","Ang Mo Kio Town Centre",90,"Females",30,"75 and Above"
"Ang Mo Kio","Cheng San",0,"Males",80,"0-6"
"Ang Mo Kio","Cheng San",0,"Females",70,"0-6"
"Ang Mo Kio","Cheng San",1,"Males",80,"0-6"
"Ang Mo Kio","Cheng San",1,"Females",70,"0-6"
"Ang Mo Kio","Cheng San",2,"Males",80,"0-6"
"Ang Mo Kio","Cheng San",2,"Females",60,"0-6"
"Ang Mo Kio","Cheng San",3,"Males",90,"0-6"
"Ang Mo Kio","Cheng San",3,"Females",70,"0-6"
"Ang Mo Kio","Cheng San",4,"Males",100,"0-6"
"Ang Mo Kio","Cheng San",4,"Females",80,"0-6"
"Ang Mo Kio","Cheng San",5,"Males",110,"0-6"
"Ang Mo Kio","Cheng San",5,"Females",80,"0-6"
"Ang Mo Kio","Cheng San",6,"Males",70,"0-6"
"Ang Mo Kio","Cheng San",6,"Females",80,"0-6"
"Ang Mo Kio","Cheng San",7,"Males",110,"7-12"
"Ang Mo Kio","Cheng San",7,"Females",100,"7-12"
"Ang Mo Kio","Cheng San",8,"Males",110,"7-12"
"Ang Mo Kio","Cheng San",8,"Females",100,"7-12"
"Ang Mo Kio","Cheng San",9,"Males",110,"7-12"
"Ang Mo Kio","Cheng San",9,"Females",80,"7-12"
"Ang Mo Kio","Cheng San",10,"Males",80,"7-12"
"Ang Mo Kio","Cheng San",10,"Females",100,"7-12"
"Ang Mo Kio","Cheng San",11,"Males",100,"7-12"
"Ang Mo Kio","Cheng San",11,"Females",110,"7-12"
"Ang Mo Kio","Cheng San",12,"Males",110,"7-12"
"Ang Mo Kio","Cheng San",12,"Females",100,"7-12"
"Ang Mo Kio","Cheng San",13,"Males",110,"13-16"
"Ang Mo Kio","Cheng San",13,"Females",90,"13-16"
"Ang Mo Kio","Cheng San",14,"Males",90,"13-16"
"Ang Mo Kio","Cheng San",14,"Females",80,"13-16"
"Ang Mo Kio","Cheng San",15,"Males",120,"13-16"
"Ang Mo Kio","Cheng San",15,"Females",90,"13-16"
"Ang Mo Kio","Cheng San",16,"Males",110,"13-16"
"Ang Mo Kio","Cheng San",16,"Females",100,"13-16"
"Ang Mo Kio","Cheng San",17,"Males",120,"17-21"
"Ang Mo Kio","Cheng San",17,"Females",110,"17-21"
"Ang Mo Kio","Cheng San",18,"Males",110,"17-21"
"Ang Mo Kio","Cheng San",18,"Females",100,"17-21"
"Ang Mo Kio","Cheng San",19,"Males",110,"17-21"
"Ang Mo Kio","Cheng San",19,"Females",100,"17-21"
"Ang Mo Kio","Cheng San",20,"Males",110,"17-21"
"Ang Mo Kio","Cheng San",20,"Females",100,"17-21"
"Ang Mo Kio","Cheng San",21,"Males",110,"17-21"
"Ang Mo Kio","Cheng San",21,"Females",120,"17-21"
"Ang Mo Kio","Cheng San",22,"Males",130,"22-34"
"Ang Mo Kio","Cheng San",22,"Females",120,"22-34"
"Ang Mo Kio","Cheng San",23,"Males",120,"22-34"
"Ang Mo Kio","Cheng San",23,"Females",120,"22-34"
"Ang Mo Kio","Cheng San",24,"Males",140,"22-34"
"Ang Mo Kio","Cheng San",24,"Females",110,"22-34"
"Ang Mo Kio","Cheng San",25,"Males",140,"22-34"
"Ang Mo Kio","Cheng San",25,"Females",100,"22-34"
"Ang Mo Kio","Cheng San",26,"Males",160,"22-34"
"Ang Mo Kio","Cheng San",26,"Females",110,"22-34"
"Ang Mo Kio","Cheng San",27,"Males",140,"22-34"
"Ang Mo Kio","Cheng San",27,"Females",160,"22-34"
"Ang Mo Kio","Cheng San",28,"Males",160,"22-34"
"Ang Mo Kio","Cheng San",28,"Females",180,"22-34"
"Ang Mo Kio","Cheng San",29,"Males",170,"22-34"
"Ang Mo Kio","Cheng San",29,"Females",170,"22-34"
"Ang Mo Kio","Cheng San",30,"Males",200,"22-34"
"Ang Mo Kio","Cheng San",30,"Females",180,"22-34"
"Ang Mo Kio","Cheng San",31,"Males",170,"22-34"
"Ang Mo Kio","Cheng San",31,"Females",210,"22-34"
"Ang Mo Kio","Cheng San",32,"Males",190,"22-34"
"Ang Mo Kio","Cheng San",32,"Females",180,"22-34"
"Ang Mo Kio","Cheng San",33,"Males",180,"22-34"
"Ang Mo Kio","Cheng San",33,"Females",200,"22-34"
"Ang Mo Kio","Cheng San",34,"Males",170,"22-34"
"Ang Mo Kio","Cheng San",34,"Females",210,"22-34"
"Ang Mo Kio","Cheng San",35,"Males",170,"35-54"
"Ang Mo Kio","Cheng San",35,"Females",230,"35-54"
"Ang Mo Kio","Cheng San",36,"Males",170,"35-54"
"Ang Mo Kio","Cheng San",36,"Females",210,"35-54"
"Ang Mo Kio","Cheng San",37,"Males",170,"35-54"
"Ang Mo Kio","Cheng San",37,"Females",170,"35-54"
"Ang Mo Kio","Cheng San",38,"Males",130,"35-54"
"Ang Mo Kio","Cheng San",38,"Females",180,"35-54"
"Ang Mo Kio","Cheng San",39,"Males",180,"35-54"
"Ang Mo Kio","Cheng San",39,"Females",200,"35-54"
"Ang Mo Kio","Cheng San",40,"Males",170,"35-54"
"Ang Mo Kio","Cheng San",40,"Females",220,"35-54"
"Ang Mo Kio","Cheng San",41,"Males",170,"35-54"
"Ang Mo Kio","Cheng San",41,"Females",240,"35-54"
"Ang Mo Kio","Cheng San",42,"Males",190,"35-54"
"Ang Mo Kio","Cheng San",42,"Females",210,"35-54"
"Ang Mo Kio","Cheng San",43,"Males",200,"35-54"
"Ang Mo Kio","Cheng San",43,"Females",230,"35-54"
"Ang Mo Kio","Cheng San",44,"Males",210,"35-54"
"Ang Mo Kio","Cheng San",44,"Females",230,"35-54"
"Ang Mo Kio","Cheng San",45,"Males",200,"35-54"
"Ang Mo Kio","Cheng San",45,"Females",210,"35-54"
"Ang Mo Kio","Cheng San",46,"Males",160,"35-54"
"Ang Mo Kio","Cheng San",46,"Females",220,"35-54"
"Ang Mo Kio","Cheng San",47,"Males",190,"35-54"
"Ang Mo Kio","Cheng San",47,"Females",190,"35-54"
"Ang Mo Kio","Cheng San",48,"Males",170,"35-54"
"Ang Mo Kio","Cheng San",48,"Females",190,"35-54"
"Ang Mo Kio","Cheng San",49,"Males",180,"35-54"
"Ang Mo Kio","Cheng San",49,"Females",210,"35-54"
"Ang Mo Kio","Cheng San",50,"Males",170,"35-54"
"Ang Mo Kio","Cheng San",50,"Females",220,"35-54"
"Ang Mo Kio","Cheng San",51,"Males",210,"35-54"
"Ang Mo Kio","Cheng San",51,"Females",240,"35-54"
"Ang Mo Kio","Cheng San",52,"Males",210,"35-54"
"Ang Mo Kio","Cheng San",52,"Females",210,"35-54"
"Ang Mo Kio","Cheng San",53,"Males",200,"35-54"
"Ang Mo Kio","Cheng San",53,"Females",190,"35-54"
"Ang Mo Kio","Cheng San",54,"Males",220,"35-54"
"Ang Mo Kio","Cheng San",54,"Females",190,"35-54"
"Ang Mo Kio","Cheng San",55,"Males",180,"55-64"
"Ang Mo Kio","Cheng San",55,"Females",220,"55-64"
"Ang Mo Kio","Cheng San",56,"Males",180,"55-64"
"Ang Mo Kio","Cheng San",56,"Females",200,"55-64"
"Ang Mo Kio","Cheng San",57,"Males",190,"55-64"
"Ang Mo Kio","Cheng San",57,"Females",200,"55-64"
"Ang Mo Kio","Cheng San",58,"Males",200,"55-64"
"Ang Mo Kio","Cheng San",58,"Females",220,"55-64"
"Ang Mo Kio","Cheng San",59,"Males",210,"55-64"
"Ang Mo Kio","Cheng San",59,"Females",220,"55-64"
"Ang Mo Kio","Cheng San",60,"Males",180,"55-64"
"Ang Mo Kio","Cheng San",60,"Females",220,"55-64"
"Ang Mo Kio","Cheng San",61,"Males",240,"55-64"
"Ang Mo Kio","Cheng San",61,"Females",220,"55-64"
"Ang Mo Kio","Cheng San",62,"Males",210,"55-64"
"Ang Mo Kio","Cheng San",62,"Females",180,"55-64"
"Ang Mo Kio","Cheng San",63,"Males",200,"55-64"
"Ang Mo Kio","Cheng San",63,"Females",200,"55-64"
"Ang Mo Kio","Cheng San",64,"Males",200,"55-64"
"Ang Mo Kio","Cheng San",64,"Females",230,"55-64"
"Ang Mo Kio","Cheng San",65,"Males",190,"65-74"
"Ang Mo Kio","Cheng San",65,"Females",190,"65-74"
"Ang Mo Kio","Cheng San",66,"Males",170,"65-74"
"Ang Mo Kio","Cheng San",66,"Females",220,"65-74"
"Ang Mo Kio","Cheng San",67,"Males",150,"65-74"
"Ang Mo Kio","Cheng San",67,"Females",250,"65-74"
"Ang Mo Kio","Cheng San",68,"Males",180,"65-74"
"Ang Mo Kio","Cheng San",68,"Females",230,"65-74"
"Ang Mo Kio","Cheng San",69,"Males",180,"65-74"
"Ang Mo Kio","Cheng San",69,"Females",250,"65-74"
"Ang Mo Kio","Cheng San",70,"Males",190,"65-74"
"Ang Mo Kio","Cheng San",70,"Females",230,"65-74"
"Ang Mo Kio","Cheng San",71,"Males",180,"65-74"
"Ang Mo Kio","Cheng San",71,"Females",220,"65-74"
"Ang Mo Kio","Cheng San",72,"Males",180,"65-74"
"Ang Mo Kio","Cheng San",72,"Females",220,"65-74"
"Ang Mo Kio","Cheng San",73,"Males",150,"65-74"
"Ang Mo Kio","Cheng San",73,"Females",230,"65-74"
"Ang Mo Kio","Cheng San",74,"Males",160,"65-74"
"Ang Mo Kio","Cheng San",74,"Females",200,"65-74"
"Ang Mo Kio","Cheng San",75,"Males",180,"75 and Above"
"Ang Mo Kio","Cheng San",75,"Females",200,"75 and Above"
"Ang Mo Kio","Cheng San",76,"Males",150,"75 and Above"
"Ang Mo Kio","Cheng San",76,"Females",160,"75 and Above"
"Ang Mo Kio","Cheng San",77,"Males",130,"75 and Above"
"Ang Mo Kio","Cheng San",77,"Females",180,"75 and Above"
"Ang Mo Kio","Cheng San",78,"Males",100,"75 and Above"
"Ang Mo Kio","Cheng San",78,"Females",120,"75 and Above"
"Ang Mo Kio","Cheng San",79,"Males",70,"75 and Above"
"Ang Mo Kio","Cheng San",79,"Females",90,"75 and Above"
"Ang Mo Kio","Cheng San",80,"Males",90,"75 and Above"
"Ang Mo Kio","Cheng San",80,"Females",110,"75 and Above"
"Ang Mo Kio","Cheng San",81,"Males",80,"75 and Above"
"Ang Mo Kio","Cheng San",81,"Females",80,"75 and Above"
"Ang Mo Kio","Cheng San",82,"Males",60,"75 and Above"
"Ang Mo Kio","Cheng San",82,"Females",90,"75 and Above"
"Ang Mo Kio","Cheng San",83,"Males",50,"75 and Above"
"Ang Mo Kio","Cheng San",83,"Females",110,"75 and Above"
"Ang Mo Kio","Cheng San",84,"Males",60,"75 and Above"
"Ang Mo Kio","Cheng San",84,"Females",90,"75 and Above"
"Ang Mo Kio","Cheng San",85,"Males",50,"75 and Above"
"Ang Mo Kio","Cheng San",85,"Females",80,"75 and Above"
"Ang Mo Kio","Cheng San",86,"Males",40,"75 and Above"
"Ang Mo Kio","Cheng San",86,"Females",50,"75 and Above"
"Ang Mo Kio","Cheng San",87,"Males",30,"75 and Above"
"Ang Mo Kio","Cheng San",87,"Females",20,"75 and Above"
"Ang Mo Kio","Cheng San",88,"Males",30,"75 and Above"
"Ang Mo Kio","Cheng San",88,"Females",40,"75 and Above"
"Ang Mo Kio","Cheng San",89,"Males",30,"75 and Above"
"Ang Mo Kio","Cheng San",89,"Females",40,"75 and Above"
"Ang Mo Kio","Cheng San",90,"Males",70,"75 and Above"
"Ang Mo Kio","Cheng San",90,"Females",150,"75 and Above"
"Ang Mo Kio","Chong Boon",0,"Males",60,"0-6"
"Ang Mo Kio","Chong Boon",0,"Females",60,"0-6"
"Ang Mo Kio","Chong Boon",1,"Males",60,"0-6"
"Ang Mo Kio","Chong Boon",1,"Females",50,"0-6"
"Ang Mo Kio","Chong Boon",2,"Males",70,"0-6"
"Ang Mo Kio","Chong Boon",2,"Females",60,"0-6"
"Ang Mo Kio","Chong Boon",3,"Males",50,"0-6"
"Ang Mo Kio","Chong Boon",3,"Females",60,"0-6"
"Ang Mo Kio","Chong Boon",4,"Males",70,"0-6"
"Ang Mo Kio","Chong Boon",4,"Females",70,"0-6"
"Ang Mo Kio","Chong Boon",5,"Males",70,"0-6"
"Ang Mo Kio","Chong Boon",5,"Females",70,"0-6"
"Ang Mo Kio","Chong Boon",6,"Males",70,"0-6"
"Ang Mo Kio","Chong Boon",6,"Females",60,"0-6"
"Ang Mo Kio","Chong Boon",7,"Males",90,"7-12"
"Ang Mo Kio","Chong Boon",7,"Females",70,"7-12"
"Ang Mo Kio","Chong Boon",8,"Males",90,"7-12"
"Ang Mo Kio","Chong Boon",8,"Females",70,"7-12"
"Ang Mo Kio","Chong Boon",9,"Males",70,"7-12"
"Ang Mo Kio","Chong Boon",9,"Females",70,"7-12"
"Ang Mo Kio","Chong Boon",10,"Males",90,"7-12"
"Ang Mo Kio","Chong Boon",10,"Females",80,"7-12"
"Ang Mo Kio","Chong Boon",11,"Males",100,"7-12"
"Ang Mo Kio","Chong Boon",11,"Females",80,"7-12"
"Ang Mo Kio","Chong Boon",12,"Males",90,"7-12"
"Ang Mo Kio","Chong Boon",12,"Females",60,"7-12"
"Ang Mo Kio","Chong Boon",13,"Males",100,"13-16"
"Ang Mo Kio","Chong Boon",13,"Females",80,"13-16"
